stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
DKI4,81.0,52.0,50.0,10.0,59.0,28.0,81.0,PM25,SEDANG
DKI4,104.0,61.0,53.0,12.0,47.0,35.0,104.0,PM25,TIDAK SEHAT
DKI2,89.0,64.0,53.0,9.0,50.0,26.0,89.0,PM25,SEDANG
DKI4,90.0,61.0,55.0,11.0,58.0,27.0,90.0,PM25,SEDANG
DKI4,105.0,76.0,58.0,20.0,38.0,52.0,105.0,PM25,TIDAK SEHAT
DKI4,101.0,63.0,53.0,10.0,48.0,18.0,101.0,PM25,TIDAK SEHAT
DKI4,92.0,60.0,53.0,9.0,57.0,17.0,92.0,PM25,SEDANG
DKI4,82.0,56.0,52.0,8.0,57.0,16.0,82.0,PM25,SEDANG
DKI4,68.0,36.0,48.0,8.0,55.0,19.0,68.0,PM25,SEDANG
DKI4,102.0,61.0,50.0,12.0,59.0,25.0,102.0,PM25,TIDAK SEHAT
DKI4,104.0,65.0,52.0,10.0,47.0,20.0,104.0,PM25,TIDAK SEHAT
DKI4,101.0,61.0,51.0,11.0,49.0,32.0,101.0,PM25,TIDAK SEHAT
DKI5,116.0,73.0,53.0,15.0,53.0,40.0,116.0,PM25,TIDAK SEHAT
DKI4,114.0,63.0,53.0,12.0,46.0,30.0,114.0,PM25,TIDAK SEHAT
DKI4,100.0,60.0,54.0,9.0,42.0,21.0,100.0,PM25,SEDANG
DKI4,103.0,62.0,51.0,13.0,40.0,22.0,103.0,PM25,TIDAK SEHAT
DKI4,97.0,62.0,51.0,11.0,42.0,26.0,97.0,PM25,SEDANG
DKI4,119.0,72.0,55.0,15.0,28.0,36.0,119.0,PM25,TIDAK SEHAT
DKI4,106.0,73.0,55.0,12.0,34.0,34.0,106.0,PM25,TIDAK SEHAT
DKI5,89.0,60.0,51.0,13.0,33.0,35.0,89.0,PM25,SEDANG
DKI4,134.0,74.0,52.0,14.0,29.0,29.0,134.0,PM25,TIDAK SEHAT
DKI4,106.0,66.0,52.0,13.0,33.0,27.0,106.0,PM25,TIDAK SEHAT
DKI4,110.0,69.0,52.0,12.0,41.0,30.0,110.0,PM25,TIDAK SEHAT
DKI4,106.0,69.0,51.0,12.0,38.0,34.0,106.0,PM25,TIDAK SEHAT
DKI5,96.0,64.0,51.0,10.0,31.0,33.0,96.0,PM25,SEDANG
DKI4,105.0,63.0,52.0,11.0,32.0,31.0,105.0,PM25,TIDAK SEHAT
DKI4,123.0,76.0,51.0,11.0,44.0,27.0,123.0,PM25,TIDAK SEHAT
DKI4,122.0,68.0,52.0,12.0,36.0,29.0,122.0,PM25,TIDAK SEHAT
DKI4,140.0,87.0,52.0,17.0,39.0,41.0,140.0,PM25,TIDAK SEHAT
DKI4,109.0,74.0,51.0,19.0,48.0,33.0,109.0,PM25,TIDAK SEHAT
DKI4,118.0,79.0,55.0,16.0,32.0,38.0,118.0,PM25,TIDAK SEHAT
DKI4,115.0,66.0,52.0,15.0,39.0,28.0,115.0,PM25,TIDAK SEHAT
DKI4,111.0,66.0,51.0,11.0,45.0,30.0,111.0,PM25,TIDAK SEHAT
DKI4,93.0,62.0,50.0,10.0,37.0,28.0,93.0,PM25,SEDANG
DKI4,120.0,74.0,52.0,12.0,36.0,28.0,120.0,PM25,TIDAK SEHAT
DKI4,109.0,73.0,51.0,13.0,34.0,24.0,109.0,PM25,TIDAK SEHAT
DKI4,86.0,60.0,51.0,11.0,27.0,24.0,86.0,PM25,SEDANG
DKI4,106.0,64.0,52.0,16.0,29.0,34.0,106.0,PM25,TIDAK SEHAT
DKI2,88.0,68.0,54.0,12.0,35.0,31.0,88.0,PM25,SEDANG
DKI4,80.0,58.0,53.0,10.0,39.0,32.0,80.0,PM25,SEDANG
DKI4,109.0,70.0,53.0,12.0,46.0,41.0,109.0,PM25,TIDAK SEHAT
DKI4,111.0,66.0,51.0,10.0,36.0,27.0,111.0,PM25,TIDAK SEHAT
DKI4,88.0,56.0,52.0,9.0,27.0,21.0,88.0,PM25,SEDANG
DKI4,61.0,36.0,50.0,8.0,47.0,19.0,61.0,PM25,SEDANG
DKI4,110.0,69.0,54.0,20.0,45.0,45.0,110.0,PM25,TIDAK SEHAT
DKI4,89.0,53.0,52.0,10.0,52.0,24.0,89.0,PM25,SEDANG
DKI4,85.0,50.0,51.0,7.0,53.0,20.0,85.0,PM25,SEDANG
DKI4,101.0,57.0,53.0,9.0,51.0,22.0,101.0,PM25,TIDAK SEHAT
DKI5,83.0,56.0,50.0,10.0,68.0,19.0,83.0,PM25,SEDANG
DKI2,81.0,58.0,52.0,11.0,54.0,34.0,81.0,PM25,SEDANG
DKI4,99.0,61.0,52.0,11.0,58.0,36.0,99.0,PM25,SEDANG
DKI4,119.0,64.0,54.0,14.0,48.0,32.0,119.0,PM25,TIDAK SEHAT
DKI4,116.0,61.0,53.0,10.0,53.0,22.0,116.0,PM25,TIDAK SEHAT
DKI4,109.0,57.0,53.0,8.0,47.0,26.0,109.0,PM25,TIDAK SEHAT
DKI4,102.0,55.0,52.0,11.0,50.0,20.0,102.0,PM25,TIDAK SEHAT
DKI4,98.0,56.0,50.0,10.0,54.0,19.0,98.0,PM25,SEDANG
DKI4,89.0,53.0,49.0,12.0,47.0,33.0,89.0,PM25,SEDANG
DKI2,71.0,49.0,49.0,10.0,49.0,28.0,71.0,PM25,SEDANG
DKI4,102.0,61.0,57.0,13.0,63.0,38.0,102.0,PM25,TIDAK SEHAT
DKI4,117.0,71.0,63.0,16.0,63.0,37.0,117.0,PM25,TIDAK SEHAT
DKI4,91.0,58.0,59.0,11.0,65.0,38.0,91.0,PM25,SEDANG
DKI4,127.0,70.0,61.0,12.0,58.0,35.0,127.0,PM25,TIDAK SEHAT
DKI4,96.0,70.0,62.0,11.0,53.0,28.0,96.0,PM25,SEDANG
DKI4,110.0,62.0,60.0,11.0,64.0,29.0,110.0,PM25,TIDAK SEHAT
DKI2,90.0,65.0,67.0,11.0,54.0,33.0,90.0,PM25,SEDANG
DKI4,103.0,66.0,66.0,10.0,58.0,35.0,103.0,PM25,TIDAK SEHAT
DKI4,77.0,52.0,60.0,9.0,50.0,28.0,77.0,PM25,SEDANG
DKI4,98.0,60.0,64.0,11.0,54.0,35.0,98.0,PM25,SEDANG
DKI4,83.0,55.0,62.0,9.0,60.0,29.0,83.0,PM25,SEDANG
DKI4,97.0,61.0,61.0,9.0,72.0,26.0,97.0,PM25,SEDANG
DKI2,100.0,68.0,64.0,12.0,66.0,30.0,100.0,PM25,SEDANG
DKI4,111.0,77.0,76.0,12.0,49.0,35.0,111.0,PM25,TIDAK SEHAT
DKI4,91.0,57.0,63.0,9.0,58.0,31.0,91.0,PM25,SEDANG
DKI4,131.0,73.0,65.0,12.0,70.0,35.0,131.0,PM25,TIDAK SEHAT
DKI4,157.0,100.0,64.0,15.0,64.0,37.0,157.0,PM25,TIDAK SEHAT
DKI4,122.0,68.0,63.0,15.0,63.0,44.0,122.0,PM25,TIDAK SEHAT
DKI4,126.0,71.0,63.0,15.0,65.0,30.0,126.0,PM25,TIDAK SEHAT
DKI4,88.0,57.0,58.0,11.0,45.0,26.0,88.0,PM25,SEDANG
DKI5,81.0,52.0,60.0,18.0,42.0,35.0,81.0,PM25,SEDANG
DKI4,96.0,50.0,73.0,11.0,50.0,27.0,96.0,PM25,SEDANG
DKI3,74.0,53.0,61.0,11.0,57.0,32.0,74.0,PM25,SEDANG
DKI4,120.0,73.0,82.0,18.0,46.0,48.0,120.0,PM25,TIDAK SEHAT
DKI4,109.0,67.0,81.0,13.0,53.0,36.0,109.0,PM25,TIDAK SEHAT
DKI4,113.0,68.0,60.0,17.0,62.0,36.0,113.0,PM25,TIDAK SEHAT
DKI4,104.0,65.0,62.0,14.0,70.0,37.0,104.0,PM25,TIDAK SEHAT
DKI4,130.0,75.0,67.0,16.0,50.0,43.0,130.0,PM25,TIDAK SEHAT
DKI4,90.0,62.0,64.0,15.0,50.0,39.0,90.0,PM25,SEDANG
DKI4,78.0,54.0,67.0,16.0,56.0,39.0,78.0,PM25,SEDANG
DKI2,79.0,54.0,80.0,19.0,49.0,35.0,80.0,SO2,SEDANG
DKI4,103.0,64.0,81.0,15.0,58.0,40.0,103.0,PM25,TIDAK SEHAT
DKI4,79.0,56.0,63.0,28.0,56.0,32.0,79.0,PM25,SEDANG
DKI5,91.0,64.0,77.0,17.0,48.0,41.0,91.0,PM25,SEDANG
DKI4,77.0,54.0,51.0,18.0,49.0,35.0,77.0,PM25,SEDANG
DKI4,83.0,52.0,51.0,13.0,73.0,38.0,83.0,PM25,SEDANG
DKI2,95.0,63.0,52.0,17.0,63.0,47.0,95.0,PM25,SEDANG
DKI4,95.0,64.0,52.0,23.0,46.0,46.0,95.0,PM25,SEDANG
DKI4,86.0,57.0,52.0,13.0,52.0,40.0,86.0,PM25,SEDANG
DKI4,81.0,52.0,51.0,10.0,55.0,25.0,81.0,PM25,SEDANG
DKI2,73.0,53.0,52.0,20.0,39.0,41.0,73.0,PM25,SEDANG
DKI4,106.0,67.0,51.0,21.0,47.0,38.0,106.0,PM25,TIDAK SEHAT
DKI4,100.0,61.0,51.0,11.0,36.0,25.0,100.0,PM25,SEDANG
DKI4,71.0,47.0,51.0,12.0,36.0,32.0,71.0,PM25,SEDANG
DKI4,63.0,44.0,47.0,10.0,38.0,19.0,63.0,PM25,SEDANG
DKI4,82.0,52.0,47.0,16.0,52.0,40.0,82.0,PM25,SEDANG
